Gene_symbol	Ensembl_ID	Mask	Breast_SA_hom.alt	Breast_SA_het	Breast_SA_hom.ref	Breast_BP_hom.alt	Breast_BP_het	Breast_BP_hom.ref	fisher.p.val	adj.fisher.p.val	log.odds.ratio	lower.CI	upper.CI	p.val	adj.p.val	log.odds.ratio.sex	lower.CI.sex	upper.CI.sex	p.val.sex	adj.p.val.sex
SKA2	ENSG00000182628	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLEKHN1	ENSG00000187583	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NF1	ENSG00000196712	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPRED2	ENSG00000198369	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDC42BPB	ENSG00000198752	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPATA31D1	ENSG00000214929	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TNFRSF13B	ENSG00000240505	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HLA-DMB	ENSG00000242574	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCNDBP1	ENSG00000166946	M2	0	1	106	1	3	41	0.0271297406168966	1	2.14348193278852	-0.0116100101564993	4.29857387573353	0.051247056814672	0.988588830851937	NA	NA	NA	NA	NA
FKBP6	ENSG00000077800	M2	0	2	105	0	3	42	0.154322828446278	1	1.32175583998041	-0.502871275909959	3.14638295587078	0.155667788118328	0.988588830851937	NA	NA	NA	NA	NA
ARID2	ENSG00000189079	M2	0	9	98	0	1	44	0.282483287669453	1	-1.39644671560589	-3.4926548311324	0.699761399920614	0.191660062076686	0.988588830851937	NA	NA	NA	NA	NA
SEC16A	ENSG00000148396	M2	0	16	91	0	10	35	0.345365070481632	1	0.485507815779367	-0.395518074464622	1.36653370602336	0.280106865648829	0.988588830851937	NA	NA	NA	NA	NA
ZBTB10	ENSG00000205189	M2	0	7	100	0	1	44	0.437227838684464	1	-1.12492959694557	-3.25000010292466	1.00014090903351	0.29948955902622	0.988588830851937	NA	NA	NA	NA	NA
BRCA1	ENSG00000012048	M2	0	5	102	1	2	42	0.43488068689937	1	0.554457744928656	-0.676573571239288	1.7854890610966	0.377360685931052	0.988588830851937	NA	NA	NA	NA	NA
LRSAM1	ENSG00000148356	M2	0	2	105	0	2	43	0.582118269584025	1	0.892760234462312	-1.09906813325593	2.88458860218056	0.379684233885635	0.988588830851937	NA	NA	NA	NA	NA
PKP1	ENSG00000081277	M2	0	4	103	0	3	42	0.422906811126789	1	0.60937729749279	-0.929976412655903	2.14873100764148	0.437818385047893	0.988588830851937	NA	NA	NA	NA	NA
DOP1B	ENSG00000142197	M2	0	6	101	0	4	41	0.483325690408126	1	0.496083342027042	-0.820099026639145	1.81226571069323	0.46007000416313	0.988588830851937	NA	NA	NA	NA	NA
SPATA31D1	ENSG00000214929	M2	0	5	102	0	1	44	0.670396649478968	1	-0.768654733069198	-2.94459538221983	1.40728591608144	0.488710896556506	0.988588830851937	NA	NA	NA	NA	NA
GTF2IRD1	ENSG00000006704	M2	0	5	102	0	1	44	0.670396649478968	1	-0.768654733069198	-2.94459538221983	1.40728591608144	0.488710896556506	0.988588830851937	NA	NA	NA	NA	NA
FAAH	ENSG00000117480	M2	0	5	102	0	1	44	0.670396649478968	1	-0.768654733069198	-2.94459538221983	1.40728591608144	0.488710896556506	0.988588830851937	NA	NA	NA	NA	NA
SUSD4	ENSG00000143502	M2	0	8	99	0	2	43	0.724012480590927	1	-0.552374626679702	-2.14267312862919	1.03792387526979	0.496014304354428	0.988588830851937	NA	NA	NA	NA	NA
UCHL1	ENSG00000154277	M2	0	1	106	0	1	44	0.505838271174649	1	0.879249460192306	-1.91475547244753	3.67325439283215	0.537377268885263	0.988588830851937	NA	NA	NA	NA	NA
RTN2	ENSG00000125744	M2	0	3	104	0	2	43	0.632941723283344	1	0.477725675338102	-1.34641490622953	2.30186625690574	0.607743877397695	0.988588830851937	NA	NA	NA	NA	NA
SLC2A8	ENSG00000136856	M2	0	7	100	0	4	41	0.732758563952509	1	0.331982331346745	-0.94913161171302	1.61309627440651	0.611525860874357	0.988588830851937	NA	NA	NA	NA	NA
TNFRSF13B	ENSG00000240505	M2	0	4	103	0	1	44	1	1	-0.535755006809515	-2.7553096079854	1.68379959436637	0.636145296524962	0.988588830851937	NA	NA	NA	NA	NA
SREBF2	ENSG00000198911	M2	0	8	99	0	4	41	0.749816527955589	1	0.188400602869014	-1.06580955165512	1.44261075739315	0.768440737010124	0.988588830851937	NA	NA	NA	NA	NA
PIF1	ENSG00000140451	M2	0	3	104	0	1	44	1	1	-0.23841102344333	-2.5288649369024	2.05204289001574	0.838345166957036	0.988588830851937	NA	NA	NA	NA	NA
CIMIP2C	ENSG00000173557	M2	0	3	104	0	1	44	1	1	-0.23841102344333	-2.5288649369024	2.05204289001574	0.838345166957036	0.988588830851937	NA	NA	NA	NA	NA
SPRED2	ENSG00000198369	M2	0	3	104	0	1	44	1	1	-0.238411023443331	-2.5288649369024	2.05204289001574	0.838345166957036	0.988588830851937	NA	NA	NA	NA	NA
PLIN1	ENSG00000166819	M2	0	3	104	0	1	44	1	1	-0.23841102344333	-2.5288649369024	2.05204289001574	0.838345166957036	0.988588830851937	NA	NA	NA	NA	NA
ATRNL1	ENSG00000107518	M2	0	3	104	0	1	44	1	1	-0.23841102344333	-2.5288649369024	2.05204289001574	0.838345166957037	0.988588830851937	NA	NA	NA	NA	NA
PIK3IP1	ENSG00000100100	M2	0	4	103	0	2	43	1	1	0.180381691974891	-1.55389766502815	1.91466104897793	0.838466765674665	0.988588830851937	NA	NA	NA	NA	NA
CDC42BPB	ENSG00000198752	M2	0	4	103	0	2	43	1	1	0.180381691974891	-1.55389766502815	1.91466104897793	0.838466765674665	0.988588830851937	NA	NA	NA	NA	NA
LAMB2	ENSG00000172037	M2	0	8	99	0	3	42	1	1	-0.123379021159197	-1.49849055019804	1.25173250787964	0.86040888751348	0.988588830851937	NA	NA	NA	NA	NA
ZNF155	ENSG00000204920	M2	0	8	99	0	3	42	1	1	-0.123379021159196	-1.49849055019804	1.25173250787964	0.86040888751348	0.988588830851937	NA	NA	NA	NA	NA
PRDX3	ENSG00000165672	M2	1	1	105	0	1	44	0.65408678982233	1	-0.158657888628866	-2.03501820020934	1.71770242295161	0.868371720517055	0.988588830851937	NA	NA	NA	NA	NA
TRIM17	ENSG00000162931	M2	0	2	105	0	1	44	1	1	0.17662353567812	-2.24950036610381	2.60274743746004	0.886537570500506	0.988588830851937	NA	NA	NA	NA	NA
UGGT1	ENSG00000136731	M2	0	10	97	0	4	41	1	1	-0.0551518200744782	-1.27080206378191	1.16049842363295	0.929145514073258	0.988588830851937	NA	NA	NA	NA	NA
TRIB2	ENSG00000071575	M2	0	0	107	0	1	44	0.29605263157898	1	15.4547069772083	-1714.69055150249	1745.5999654569	0.986031680025139	0.988588830851937	NA	NA	NA	NA	NA
NDUFB3	ENSG00000119013	M2	0	0	107	0	1	44	0.29605263157898	1	15.4547069772582	-1714.69055154608	1745.5999655006	0.986031680025446	0.988588830851937	NA	NA	NA	NA	NA
LHPP	ENSG00000107902	M2	0	0	107	0	1	44	0.29605263157898	1	15.4547069772582	-1714.69055154614	1745.59996550066	0.986031680025446	0.988588830851937	NA	NA	NA	NA	NA
PLEKHN1	ENSG00000187583	M2	0	6	101	0	0	45	0.180063646442325	1	-15.7576103953955	-1935.75801937862	1904.24279858783	0.987166105604907	0.988588830851937	NA	NA	NA	NA	NA
CYP4A22	ENSG00000162365	M2	0	6	101	0	0	45	0.180063646442325	1	-15.7576103953956	-1935.75801937877	1904.24279858797	0.987166105604908	0.988588830851937	NA	NA	NA	NA	NA
TMPRSS15	ENSG00000154646	M2	0	0	107	0	2	43	0.086266991983273	1	16.4776969675368	-2000.5633401866	2033.51873412167	0.987225280466528	0.988588830851937	NA	NA	NA	NA	NA
NF1	ENSG00000196712	M2	0	1	106	0	0	45	1	1	-13.709291172345	-1743.85454920819	1716.4359668635	0.987609092110952	0.988588830851937	NA	NA	NA	NA	NA
ARHGAP45	ENSG00000180448	M2	0	1	106	0	0	45	1	1	-13.7092911723449	-1743.85454920824	1716.43596686354	0.987609092110953	0.988588830851937	NA	NA	NA	NA	NA
FAM234B	ENSG00000084444	M2	0	2	105	0	0	45	1	1	-14.7187703884022	-2031.75980674877	2002.32226597196	0.988588830851937	0.988588830851937	NA	NA	NA	NA	NA
PSIP1	ENSG00000164985	M2	0	2	105	0	0	45	1	1	-14.7187703884022	-2031.75980674877	2002.32226597196	0.988588830851937	0.988588830851937	NA	NA	NA	NA	NA
VNN2	ENSG00000112303	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTF2B	ENSG00000137947	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TCHP	ENSG00000139437	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TPRG1L	ENSG00000158109	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TAS2R1	ENSG00000169777	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RWDD4	ENSG00000182552	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SKA2	ENSG00000182628	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HLA-DMB	ENSG00000242574	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
